 "Manzana","Zona"
"3268","zona 6"
"3269","zona 6"
"3271","zona 6"
"3272","zona 6"
"3273","zona 6"
"3274","zona 6"
"3275","zona 6"
"3276","zona 6"
"3277","zona 6"
"3278","zona 6"
"3279","zona 6"
"3501","zona 6"
"3502","zona 6"
"3503","zona 6"
"3504","zona 6"
"3505","zona 6"
"371","zona 7"
"372","zona 7"
"373","zona 7"
"374","zona 7"
"3742","zona 6"
"3743","zona 6"
"3744","zona 6"
"3745","zona 6"
"3748","zona 6"
"375","zona 7"
"3752","zona 6"
"376","zona 7"
"377","zona 7"
"378","zona 7"
"379","zona 7"
"380","zona 7"
"381","zona 7"
"382","zona 7"
"383","zona 7"
"3991","zona 6"
"3992","zona 6"
"3993","zona 6"
"3994","zona 6"
"4248","zona 6"
"4249","zona 6"
"4250","zona 6"
"4251","zona 6"
"4252","zona 6"
"4253","zona 6"
"4254","zona 6"
"4514","zona 6"
"4515","zona 6"
"4516","zona 6"
"4517","zona 6"
"4518","zona 6"
"4519","zona 6"
"452","zona 7"
"4523","zona 6"
"453","zona 7"
"454","zona 7"
"455","zona 7"
"456","zona 7"
"457","zona 7"
"458","zona 7"
"459","zona 7"
"460","zona 7"
"461","zona 7"
"462","zona 7"
"465","zona 7"
"4786","zona 6"
"4787","zona 6"
"4788","zona 6"
"4789","zona 6"
"5065","zona 6"
"5067","zona 6"
"5068","zona 6"
"5069","zona 6"
"5356","zona 6"
"5357","zona 6"
"5358","zona 6"
"5363","zona 6"
"541","zona 7"
"542","zona 7"
"543","zona 7"
"544","zona 7"
"545","zona 7"
"546","zona 7"
"547","zona 7"
"548","zona 7"
"549","zona 7"
"550","zona 7"
"551","zona 7"
"5653","zona 6"
"5654","zona 6"
"5655","zona 6"
"5656","zona 6"
"5954","zona 6"
"5955","zona 6"
"5956","zona 6"
"5957","zona 6"
"5958","zona 6"
"5959","zona 6"
"5960","zona 6"
"5961","zona 6"
"5962","zona 6"
"5963","zona 6"
"5964","zona 6"
"5965","zona 6"
"6265","zona 6"
"638","zona 7"
"639","zona 7"
"640","zona 7"
"641","zona 7"
"642","zona 7"
"643","zona 7"
"644","zona 7"
"645","zona 7"
"646","zona 7"
"647","zona 7"
"743","zona 7"
"744","zona 7"
"745","zona 7"
"746","zona 7"
"747","zona 7"
"748","zona 7"
"749","zona 7"
"750","zona 7"
"751","zona 7"
"752","zona 7"
"856","zona 7"
"857","zona 7"
"858","zona 7"
"859","zona 7"
"860","zona 7"
"861","zona 7"
"862","zona 7"
"863","zona 7"
"864","zona 7"
"9004","zona 8 a pie"
"9500","zona 8 a pie"
"977","zona 7"
"978","zona 7"
"979","zona 7"
"980","zona 7"
"981","zona 7"
"982","zona 7"
"983","zona 7"
"984","zona 7"
"985","zona 7"
"1","zona 8 a pie"
"11","zona 8 a pie"
"12","zona 8 a pie"
"127","zona 7"
"128","zona 7"
"129","zona 7"
"13","zona 8 a pie"
"130","zona 7"
"131","zona 7"
"132","zona 7"
"133","zona 7"
"134","zona 7"
"135","zona 7"
"136","zona 8 a pie"
"137","zona 8 a pie"
"138","zona 8 a pie"
"139","zona 8 a pie"
"14","zona 8 a pie"
"15","zona 8 a pie"
"176","zona 7"
"177","zona 7"
"178","zona 7"
"179","zona 7"
"180","zona 7"
"181","zona 7"
"182","zona 7"
"183","zona 7"
"184","zona 7"
"185","zona 7"
"186","zona 7"
"187","zona 8 a pie"
"188","zona 8 a pie"
"189","zona 8 a pie"
"190","zona 8 a pie"
"191","zona 8 a pie"
"2","zona 8 a pie"
"242","zona 7"
"243","zona 7"
"244","zona 7"
"245","zona 7"
"246","zona 8 a pie"
"247","zona 8 a pie"
"248","zona 8 a pie"
"249","zona 8 a pie"
"250","zona 8 a pie"
"28","zona 8 a pie"
"29","zona 8 a pie"
"3","zona 8 a pie"
"30","zona 8 a pie"
"31","zona 8 a pie"
"32","zona 8 a pie"
"33","zona 8 a pie"
"34","zona 8 a pie"
"4","zona 8 a pie"
"53","zona 7"
"54","zona 7"
"55","zona 7"
"56","zona 7"
"57","zona 7"
"58","zona 8 a pie"
"61","zona 8 a pie"
"86","zona 7"
"87","zona 7"
"88","zona 7"
"89","zona 7"
"90","zona 7"
"91","zona 7"
"92","zona 7"
"93","zona 8 a pie"
"96","zona 8 a pie"
"1037","zona 4"
"1038","zona 4"
"1039","zona 4"
"1040","zona 4"
"1041","zona 4"
"1042","zona 4"
"1043","zona 4"
"1044","zona 4"
"1045","zona 4"
"1170","zona 4"
"1171","zona 4"
"1172","zona 4"
"1173","zona 4"
"1174","zona 4"
"1176","zona 4"
"1177","zona 4"
"1311","zona 4"
"1312","zona 4"
"1313","zona 4"
"1314","zona 4"
"1315","zona 4"
"1316","zona 4"
"1317","zona 4"
"1319","zona 4"
"1460","zona 4"
"1461","zona 4"
"1462","zona 4"
"1463","zona 4"
"1464","zona 4"
"1465","zona 4"
"1466","zona 4"
"1468","zona 4"
"1617","zona 4"
"1618","zona 4"
"1621","zona 4"
"1623","zona 4"
"1624","zona 4"
"1782","zona 4"
"1783","zona 4"
"1784","zona 4"
"1785","zona 4"
"1787","zona 4"
"1788","zona 4"
"1789","zona 4"
"1790","zona 4"
"1955","zona 4"
"1956","zona 4"
"1957","zona 4"
"1958","zona 4"
"1959","zona 4"
"1960","zona 4"
"1961","zona 4"
"1962","zona 4"
"1963","zona 4"
"2136","zona 4"
"2137","zona 4"
"2138","zona 4"
"2140","zona 4"
"2141","zona 4"
"2142","zona 4"
"2143","zona 4"
"2325","zona 4"
"2326","zona 4"
"2327","zona 4"
"2329","zona 4"
"2331","zona 4"
"2332","zona 4"
"2333","zona 4"
"2522","zona 4"
"2523","zona 4"
"2524","zona 4"
"2529","zona 4"
"2727","zona 4"
"2728","zona 4"
"2729","zona 4"
"2730","zona 4"
"492","zona 2"
"493","zona 2"
"494","zona 2"
"495","zona 2"
"496","zona 2"
"497","zona 2"
"498","zona 2"
"499","zona 2"
"500","zona 2"
"585","zona 2"
"586","zona 2"
"587","zona 2"
"588","zona 2"
"589","zona 2"
"590","zona 2"
"591","zona 2"
"592","zona 2"
"593","zona 2"
"686","zona 4"
"687","zona 4"
"688","zona 4"
"689","zona 4"
"690","zona 4"
"691","zona 4"
"692","zona 4"
"693","zona 4"
"694","zona 4"
"795","zona 4"
"796","zona 4"
"797","zona 4"
"798","zona 4"
"799","zona 4"
"800","zona 4"
"801","zona 4"
"802","zona 4"
"803","zona 4"
"912","zona 4"
"913","zona 4"
"915","zona 4"
"916","zona 4"
"917","zona 4"
"918","zona 4"
"919","zona 4"
"920","zona 4"
